Слово,Словарь тихонова,Словарь CrossLexica,POS
клеить, кле:ROOT/и:SUFF/ть:SUFF, кле:ROOT/ить:END, VERB
подтянуться, под:PREF/тя:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, под:PREF/тя:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
пересчитать, пере:PREF/счит:ROOT/а:SUFF/ть:SUFF, пере:PREF/с:SUFF/чит:ROOT/ать:END, VERB
бить, би:ROOT/ть:SUFF, би:ROOT/ть:END, VERB
усыпать, у:PREF/сып:ROOT/а:SUFF/ть:SUFF, у:PREF/сып:ROOT/ать:END, VERB
вывалиться, вы:PREF/вал:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/вал:ROOT/ить:END/ся:POSTFIX, VERB
отплатить, от:PREF/плат:ROOT/и:SUFF/ть:SUFF, от:PREF/плат:ROOT/ить:END, VERB
убежать, у:PREF/беж:ROOT/а:SUFF/ть:SUFF, у:PREF/беж:ROOT/ать:END, VERB
подогнать, подо:PREF/гн:ROOT/а:SUFF/ть:SUFF, подо:PREF/гн:ROOT/ать:END, VERB
уберегаться, у:PREF/берег:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/берег:ROOT/ать:END/ся:POSTFIX, VERB
подготовиться, под:PREF/готов:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, под:PREF/готов:ROOT/ить:END/ся:POSTFIX, VERB
расшивать, рас:PREF/ши:ROOT/ва:SUFF/ть:SUFF, рас:PREF/шив:ROOT/ать:END, VERB
загадывать, за:PREF/гад:ROOT/ыва:SUFF/ть:SUFF, за:PREF/гад:ROOT/ыв:SUFF/ать:END, VERB
будить, буд:ROOT/и:SUFF/ть:SUFF, буд:ROOT/ить:END, VERB
пропариться, про:PREF/пар:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/пар:ROOT/ить:END/ся:POSTFIX, VERB
сосчитать, со:PREF/счит:ROOT/а:SUFF/ть:SUFF, со:PREF/с:SUFF/чит:ROOT/ать:END, VERB
добавляться, до:PREF/бавл:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/бавл:ROOT/ять:END/ся:POSTFIX, VERB
привлекать, при:PREF/влек:ROOT/а:SUFF/ть:SUFF, при:PREF/влек:ROOT/ать:END, VERB
наработать, на:PREF/работ:ROOT/а:SUFF/ть:SUFF, на:PREF/работ:ROOT/ать:END, VERB
прибрать, при:PREF/бр:ROOT/а:SUFF/ть:SUFF, при:PREF/бр:ROOT/ать:END, VERB
заслушивать, за:PREF/слуш:ROOT/ива:SUFF/ть:SUFF, за:PREF/слуш:ROOT/ив:SUFF/ать:END, VERB
качать, кач:ROOT/а:SUFF/ть:SUFF, кач:ROOT/ать:END, VERB
лгать, лг:ROOT/а:SUFF/ть:SUFF, лг:ROOT/ать:END, VERB
довешиваться, до:PREF/веш:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/веш:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
включить, в:PREF/ключ:ROOT/и:SUFF/ть:SUFF, в:PREF/ключ:ROOT/ить:END, VERB
соединять, со:PREF/един:ROOT/я:SUFF/ть:SUFF, со:PREF/един:ROOT/ять:END, VERB
расписываться, рас:PREF/пис:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/пис:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
переживать, пере:PREF/жи:ROOT/ва:SUFF/ть:SUFF, пере:PREF/жив:ROOT/ать:END, VERB
приблизить, при:PREF/близ:ROOT/и:SUFF/ть:SUFF, при:PREF/близ:ROOT/ить:END, VERB
избрать, из:PREF/бр:ROOT/а:SUFF/ть:SUFF, из:PREF/бр:ROOT/ать:END, VERB
обманывать, обман:ROOT/ыва:SUFF/ть:SUFF, об:PREF/ман:ROOT/ыв:SUFF/ать:END, VERB
отбуксировать, от:PREF/букс:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, от:PREF/буксир:ROOT/ов:SUFF/ать:END, VERB
сдвигаться, с:PREF/двиг:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/двиг:ROOT/ать:END/ся:POSTFIX, VERB
уладиться, у:PREF/лад:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/лад:ROOT/ить:END/ся:POSTFIX, VERB
повеселиться, по:PREF/весел:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/весел:ROOT/ить:END/ся:POSTFIX, VERB
усложниться, у:PREF/сложн:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/с:SUFF/лож:ROOT/н:SUFF/ить:END/ся:POSTFIX, VERB
перенимать, переним:ROOT/а:SUFF/ть:SUFF, пере:PREF/ним:ROOT/ать:END, VERB
обвевать, об:PREF/ве:ROOT/ва:SUFF/ть:SUFF, об:PREF/ве:ROOT/в:SUFF/ать:END, VERB
достигать, достиг:ROOT/а:SUFF/ть:SUFF, до:PREF/стиг:ROOT/ать:END, VERB
передумать, пере:PREF/дум:ROOT/а:SUFF/ть:SUFF, пере:PREF/дум:ROOT/ать:END, VERB
порушиться, по:PREF/руш:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/руш:ROOT/ить:END/ся:POSTFIX, VERB
довертеть, до:PREF/верт:ROOT/е:SUFF/ть:SUFF, до:PREF/верт:ROOT/еть:END, VERB
навести, на:PREF/вес:ROOT/ти:SUFF, на:PREF/вес:ROOT/ти:END, VERB
вынуждать, вы:PREF/нужд:ROOT/а:SUFF/ть:SUFF, вы:PREF/нужд:ROOT/ать:END, VERB
прокопать, про:PREF/коп:ROOT/а:SUFF/ть:SUFF, про:PREF/коп:ROOT/ать:END, VERB
погашать, по:PREF/гаш:ROOT/а:SUFF/ть:SUFF, по:PREF/гаш:ROOT/ать:END, VERB
надлежать, надлеж:ROOT/а:SUFF/ть:SUFF, над:PREF/леж:ROOT/ать:END, VERB
разгласить, раз:PREF/глас:ROOT/и:SUFF/ть:SUFF, раз:PREF/глас:ROOT/ить:END, VERB
догрузить, до:PREF/груз:ROOT/и:SUFF/ть:SUFF, до:PREF/груз:ROOT/ить:END, VERB
оказать, оказ:ROOT/а:SUFF/ть:SUFF, о:PREF/каз:ROOT/ать:END, VERB
высыпать, вы:PREF/сып:ROOT/а:SUFF/ть:SUFF, вы:PREF/сып:ROOT/ать:END, VERB
сдвигать, с:PREF/двиг:ROOT/а:SUFF/ть:SUFF, с:PREF/двиг:ROOT/ать:END, VERB
заем, заем:ROOT, за:PREF/ем:ROOT, VERB
зазвучать, за:PREF/звуч:ROOT/а:SUFF/ть:SUFF, за:PREF/звуч:ROOT/ать:END, VERB
выручить, выруч:ROOT/и:SUFF/ть:SUFF, вы:PREF/руч:ROOT/ить:END, VERB
отселить, от:PREF/сел:ROOT/и:SUFF/ть:SUFF, от:PREF/сел:ROOT/ить:END, VERB
рассчитаться, рас:PREF/счит:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/с:SUFF/чит:ROOT/ать:END/ся:POSTFIX, VERB
расселять, рас:PREF/сел:ROOT/я:SUFF/ть:SUFF, рас:PREF/сел:ROOT/ять:END, VERB
стягиваться, с:PREF/тяг:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/тяг:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
бетонировать, бетон:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, бетон:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
готовить, готов:ROOT/и:SUFF/ть:SUFF, готов:ROOT/ить:END, VERB
избираться, из:PREF/бир:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, из:PREF/бир:ROOT/ать:END/ся:POSTFIX, VERB
сталкивать, с:PREF/талк:ROOT/ива:SUFF/ть:SUFF, с:PREF/талк:ROOT/ив:SUFF/ать:END, VERB
домывать, до:PREF/мы:ROOT/ва:SUFF/ть:SUFF, до:PREF/мыв:ROOT/ать:END, VERB
разбрюзжаться, раз:PREF/брюзж:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/брюзж:ROOT/ать:END/ся:POSTFIX, VERB
переселяться, пере:PREF/сел:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/сел:ROOT/ять:END/ся:POSTFIX, VERB
переходить, пере:PREF/ход:ROOT/и:SUFF/ть:SUFF, пере:PREF/ход:ROOT/ить:END, VERB
побросать, по:PREF/брос:ROOT/а:SUFF/ть:SUFF, по:PREF/брос:ROOT/ать:END, VERB
сочувствовать, сочувств:ROOT/ова:SUFF/ть:SUFF, со:PREF/чувств:ROOT/ов:SUFF/ать:END, VERB
задержать, за:PREF/держ:ROOT/а:SUFF/ть:SUFF, за:PREF/держ:ROOT/ать:END, VERB
заправить, заправ:ROOT/и:SUFF/ть:SUFF, за:PREF/прав:ROOT/ить:END, VERB
дерзить, дерз:ROOT/и:SUFF/ть:SUFF, дерз:ROOT/ить:END, VERB
побегать, по:PREF/бег:ROOT/а:SUFF/ть:SUFF, по:PREF/бег:ROOT/ать:END, VERB
натренировать, на:PREF/трен:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, на:PREF/трен:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
одевать, о:PREF/де:ROOT/ва:SUFF/ть:SUFF, о:PREF/дев:ROOT/ать:END, VERB
стараться, стара:ROOT/ть:SUFF/ся:POSTFIX, стар:ROOT/ать:END/ся:POSTFIX, VERB
обосновываться, об:PREF/основ:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/основ:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
приплатить, при:PREF/плат:ROOT/и:SUFF/ть:SUFF, при:PREF/плат:ROOT/ить:END, VERB
выбалтывать, вы:PREF/балт:ROOT/ыва:SUFF/ть:SUFF, вы:PREF/балтыв:ROOT/ать:END, VERB
размораживать, раз:PREF/мораж:ROOT/ива:SUFF/ть:SUFF, раз:PREF/мораж:ROOT/ив:SUFF/ать:END, VERB
верить, вер:ROOT/и:SUFF/ть:SUFF, вер:ROOT/ить:END, VERB
передохнуть, пере:PREF/дох:ROOT/ну:SUFF/ть:SUFF, пере:PREF/дох:ROOT/н:SUFF/уть:END, VERB
обвалить, об:PREF/вал:ROOT/и:SUFF/ть:SUFF, об:PREF/вал:ROOT/ить:END, VERB
ослепить, о:PREF/слеп:ROOT/и:SUFF/ть:SUFF, о:PREF/слеп:ROOT/ить:END, VERB
обойти, обо:PREF/й:ROOT/ти:SUFF, обо:PREF/й:ROOT/ти:END, VERB
похваляться, по:PREF/хвал:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/хвал:ROOT/ять:END/ся:POSTFIX, VERB
подолбить, по:PREF/долб:ROOT/и:SUFF/ть:SUFF, по:PREF/долб:ROOT/ить:END, VERB
вбросить, в:PREF/брос:ROOT/и:SUFF/ть:SUFF, в:PREF/брос:ROOT/ить:END, VERB
обвешаться, об:PREF/веш:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/веш:ROOT/ать:END/ся:POSTFIX, VERB
намерзать, на:PREF/мерз:ROOT/а:SUFF/ть:SUFF, на:PREF/мерз:ROOT/ать:END, VERB
прицениваться, при:PREF/цен:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, при:PREF/цен:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
продувать, про:PREF/ду:ROOT/ва:SUFF/ть:SUFF, про:PREF/дув:ROOT/ать:END, VERB
оборонять, оборон:ROOT/я:SUFF/ть:SUFF, о:PREF/борон:ROOT/ять:END, VERB
заболотиться, за:PREF/болот:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/болот:ROOT/ить:END/ся:POSTFIX, VERB
взыскать, вз:PREF/ыск:ROOT/а:SUFF/ть:SUFF, вз:PREF/ыск:ROOT/ать:END, VERB
отображать, отображ:ROOT/а:SUFF/ть:SUFF, от:PREF/ображ:ROOT/ать:END, VERB
допереть, до:PREF/пер:ROOT/е:SUFF/ть:SUFF, до:PREF/пер:ROOT/еть:END, VERB
перехвалить, пере:PREF/хвал:ROOT/и:SUFF/ть:SUFF, пере:PREF/хвал:ROOT/ить:END, VERB
разместить, раз:PREF/мест:ROOT/и:SUFF/ть:SUFF, раз:PREF/мест:ROOT/ить:END, VERB
пресекать, пре:PREF/сек:ROOT/а:SUFF/ть:SUFF, пре:PREF/сек:ROOT/ать:END, VERB
отдаваться, от:PREF/да:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/дав:ROOT/ать:END/ся:POSTFIX, VERB
анатомироваться, анатом:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, анатом:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
пропирать, про:PREF/пир:ROOT/а:SUFF/ть:SUFF, про:PREF/пир:ROOT/ать:END, VERB
уделяться, удел:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/дел:ROOT/ять:END/ся:POSTFIX, VERB
оббить, об:PREF/би:ROOT/ть:SUFF, об:PREF/би:ROOT/ть:END, VERB
явиться, яв:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, яв:ROOT/ить:END/ся:POSTFIX, VERB
пополнить, по:PREF/полн:ROOT/и:SUFF/ть:SUFF, по:PREF/полн:ROOT/ить:END, VERB
выбелиться, вы:PREF/бел:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/бел:ROOT/ить:END/ся:POSTFIX, VERB
отваривать, от:PREF/вар:ROOT/ива:SUFF/ть:SUFF, от:PREF/вар:ROOT/ив:SUFF/ать:END, VERB
разбросать, раз:PREF/брос:ROOT/а:SUFF/ть:SUFF, раз:PREF/брос:ROOT/ать:END, VERB
припасти, при:PREF/пас:ROOT/ти:SUFF, при:PREF/пас:ROOT/ти:END, VERB
стягивать, с:PREF/тяг:ROOT/ива:SUFF/ть:SUFF, с:PREF/тяг:ROOT/ив:SUFF/ать:END, VERB
разваривать, раз:PREF/вар:ROOT/ива:SUFF/ть:SUFF, раз:PREF/вар:ROOT/ив:SUFF/ать:END, VERB
одержать, одерж:ROOT/а:SUFF/ть:SUFF, о:PREF/держ:ROOT/ать:END, VERB
переламывать, пере:PREF/лам:ROOT/ыва:SUFF/ть:SUFF, пере:PREF/лам:ROOT/ыв:SUFF/ать:END, VERB
выбегать, вы:PREF/бег:ROOT/а:SUFF/ть:SUFF, вы:PREF/бег:ROOT/ать:END, VERB
велеть, вел:ROOT/е:SUFF/ть:SUFF, вел:ROOT/еть:END, VERB
адресовать, адрес:ROOT/ова:SUFF/ть:SUFF, адрес:ROOT/ов:SUFF/ать:END, VERB
влить, в:PREF/ли:ROOT/ть:SUFF, в:PREF/ли:ROOT/ть:END, VERB
упускаться, у:PREF/пуск:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/пуск:ROOT/ать:END/ся:POSTFIX, VERB
дослать, до:PREF/сл:ROOT/а:SUFF/ть:SUFF, до:PREF/сл:ROOT/ать:END, VERB
прокрасить, про:PREF/крас:ROOT/и:SUFF/ть:SUFF, про:PREF/крас:ROOT/ить:END, VERB
придумать, при:PREF/дум:ROOT/а:SUFF/ть:SUFF, при:PREF/дум:ROOT/ать:END, VERB
отполоскать, от:PREF/полоск:ROOT/а:SUFF/ть:SUFF, от:PREF/полоск:ROOT/ать:END, VERB
взорвать, взо:PREF/рв:ROOT/а:SUFF/ть:SUFF, взо:PREF/рв:ROOT/ать:END, VERB
настигать, на:PREF/стиг:ROOT/а:SUFF/ть:SUFF, на:PREF/стиг:ROOT/ать:END, VERB
досидеть, до:PREF/сид:ROOT/е:SUFF/ть:SUFF, до:PREF/сид:ROOT/еть:END, VERB
побарахтаться, по:PREF/барахт:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/барахт:ROOT/ать:END/ся:POSTFIX, VERB
надышаться, на:PREF/дыш:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/дыш:ROOT/ать:END/ся:POSTFIX, VERB
ломить, лом:ROOT/и:SUFF/ть:SUFF, лом:ROOT/ить:END, VERB
уживаться, у:PREF/жи:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/жив:ROOT/ать:END/ся:POSTFIX, VERB
подорвать, подо:PREF/рв:ROOT/а:SUFF/ть:SUFF, подо:PREF/рв:ROOT/ать:END, VERB
раскидать, рас:PREF/кид:ROOT/а:SUFF/ть:SUFF, рас:PREF/кид:ROOT/ать:END, VERB
отбрасываться, от:PREF/брас:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/брас:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
посадить, по:PREF/сад:ROOT/и:SUFF/ть:SUFF, по:PREF/сад:ROOT/ить:END, VERB
блеснуть, блес:ROOT/ну:SUFF/ть:SUFF, блес:ROOT/н:SUFF/уть:END, VERB
вытереть, вы:PREF/тер:ROOT/е:SUFF/ть:SUFF, вы:PREF/тер:ROOT/еть:END, VERB
постоять, по:PREF/сто:ROOT/я:SUFF/ть:SUFF, по:PREF/сто:ROOT/ять:END, VERB
восходить, вос:PREF/ход:ROOT/и:SUFF/ть:SUFF, вос:PREF/ход:ROOT/ить:END, VERB
напоминаться, на:PREF/помин:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/помин:ROOT/ать:END/ся:POSTFIX, VERB
удирать, у:PREF/дир:ROOT/а:SUFF/ть:SUFF, у:PREF/дир:ROOT/ать:END, VERB
проедать, про:PREF/ед:ROOT/а:SUFF/ть:SUFF, про:PREF/ед:ROOT/ать:END, VERB
пробежаться, про:PREF/беж:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/беж:ROOT/ать:END/ся:POSTFIX, VERB
прополоскать, про:PREF/полоск:ROOT/а:SUFF/ть:SUFF, про:PREF/полоск:ROOT/ать:END, VERB
приобрести, при:PREF/обрес:ROOT/ти:SUFF, при:PREF/обрес:ROOT/ти:END, VERB
изолироваться, изол:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, изол:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
почистить, по:PREF/чист:ROOT/и:SUFF/ть:SUFF, по:PREF/чист:ROOT/ить:END, VERB
подвешивать, под:PREF/веш:ROOT/ива:SUFF/ть:SUFF, под:PREF/веш:ROOT/ив:SUFF/ать:END, VERB
затворяться, за:PREF/твор:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/твор:ROOT/ять:END/ся:POSTFIX, VERB
унаследовать, у:PREF/наслед:ROOT/ова:SUFF/ть:SUFF, у:PREF/на:SUFF/след:ROOT/ов:SUFF/ать:END, VERB
привести, при:PREF/вес:ROOT/ти:SUFF, при:PREF/вес:ROOT/ти:END, VERB
набегаться, на:PREF/бег:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/бег:ROOT/ать:END/ся:POSTFIX, VERB
ветшать, ветш:ROOT/а:SUFF/ть:SUFF, ветш:ROOT/ать:END, VERB
обоготворять, о:PREF/боготвор:ROOT/я:SUFF/ть:SUFF, о:PREF/боготвор:ROOT/ять:END, VERB
порубить, по:PREF/руб:ROOT/и:SUFF/ть:SUFF, по:PREF/руб:ROOT/ить:END, VERB
ввернуть, в:PREF/вер:ROOT/ну:SUFF/ть:SUFF, в:PREF/вер:ROOT/н:SUFF/уть:END, VERB
вздеть, вз:PREF/де:ROOT/ть:SUFF, вз:PREF/де:ROOT/ть:END, VERB
почувствовать, по:PREF/чу:ROOT/в:SUFF/ств:SUFF/ова:SUFF/ть:SUFF, по:PREF/чувств:ROOT/ов:SUFF/ать:END, VERB
уберегать, у:PREF/берег:ROOT/а:SUFF/ть:SUFF, у:PREF/берег:ROOT/ать:END, VERB
переформулировать, пере:PREF/формул:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, пере:PREF/форм:ROOT/ул:SUFF/ир:SUFF/ов:SUFF/ать:END, VERB
опровергнуть, опроверг:ROOT/ну:SUFF/ть:SUFF, о:PREF/про:SUFF/верг:ROOT/н:SUFF/уть:END, VERB
рассыпаться, рас:PREF/сып:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/сып:ROOT/ать:END/ся:POSTFIX, VERB
перечислить, пере:PREF/числ:ROOT/и:SUFF/ть:SUFF, пере:PREF/числ:ROOT/ить:END, VERB
